id_hidden,importance_rank_hidden,mineraloccurrencedbk_hidden,inspireid,name,country,Tipo de presencia,deposit_group,deposit_type,inspire_commodity,crm_2023,element,commodity_importance,commodity_group,mine_status,mining_activity_types,has_oremeasures,endownment,reserves,resources,unfc,totalproduction,original_geometry_type,longitude,latitude,srid,valid_geometry,crm_2023_importance
90340126962,0,903401126757,151005,LA CUBETA,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.933741,42.661111,4326,true,tantalum - Not specified
90340131052,0,903401129663,727015,Grupo Minero Tres Arroyos,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-7.083376,39.25329,4326,true,tantalum - Not specified
90340130468,0,903401129298,622002,Mina Las Navas,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-6.37247,39.838487,4326,true,tantalum - Not specified
90340126988,0,903401126769,153005,MONTE CANDAN,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.270062,42.601166,4326,true,tantalum - Not specified
90340126974,0,903401126760,151008,XENIÑA,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.908736,42.65479,4326,true,tantalum - Not specified
90340127296,0,903401126991,184001,LA LANZADA,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.869563,42.426457,4326,true,tantalum - Not specified
90340127029,0,903401126783,153019,CEBRAL,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.201011,42.519654,4326,true,tantalum - Not specified
90340127299,0,903401126992,184002,BOLICHE,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.85683,42.412933,4326,true,tantalum - Not specified
90340127924,0,903401127457,299005,MINA DE GOYAN,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.79995,41.953436,4326,true,tantalum - Not specified
90340127345,0,903401127013,186013,BIOCO,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.345579,42.490403,4326,true,tantalum - Not specified
90340130765,0,903401129500,704007,Mina San Expedito (El Trasquilón),Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-6.370001,39.396109,4326,true,tantalum - Not specified
90340128016,0,903401127502,303021,OLGAS,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-7.368502,41.853386,4326,true,tantalum - Not specified
90340127349,0,903401127014,186014,CAMPANARIO,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.342009,42.482727,4326,true,tantalum - Not specified
90340131004,0,903401129626,726006,La Casualidad 2ª-El Barrerón-,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-7.206248,39.320121,4326,true,tantalum - Not specified
90340127353,0,903401127015,186015,PARGA,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.335993,42.476389,4326,true,tantalum - Not specified
90340127357,0,903401127017,186017,LA SERRA,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.326391,42.464175,4326,true,tantalum - Not specified
90340127011,0,903401126777,153013,COSTA DO MEDIO,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.216831,42.568845,4326,true,tantalum - Not specified
9034013597,0,903401122030,228001,,Spain,Presencia,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-7.01557,42.1838,4326,true,tantalum - Not specified
90340126605,0,903401126456,119009,COTO DO CORSO,Spain,Depósito mineral,,,tantalum,Tantalio,Ta,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-8.873124,42.768225,4326,true,tantalum - Not specified
90340128479,0,903401127862,395005,Pinilla 1,Spain,Depósito mineral,,,lithium,lithium,Li,Not specified,special and rare metals,no mine,,no,,,,,,ST_Point,-6.376585,41.377939,4326,true,lithium - Not specified
